iter	Passed	Remaining
0	127	127819
1	129	64637
2	130	43531
3	132	32958
4	134	26795
5	136	22640
6	139	19796
7	141	17495
8	142	15686
9	143	14230
10	145	13074
11	147	12131
12	149	11331
13	150	10599
14	151	9964
15	153	9447
16	155	9018
17	157	8605
18	159	8234
19	161	7916
20	163	7612
21	164	7326
22	166	7068
23	168	6842
24	169	6629
25	171	6422
26	173	6236
27	174	6069
28	176	5903
29	178	5770
30	180	5636
31	182	5507
32	184	5398
33	185	5281
34	187	5168
35	188	5056
36	190	4951
37	192	4870
38	194	4784
39	195	4702
40	197	4621
41	199	4539
42	200	4469
43	202	4400
44	204	4329
45	205	4263
46	207	4197
47	208	4134
48	210	4080
49	211	4027
50	213	3973
51	215	3921
52	216	3876
53	218	3828
54	220	3787
55	222	3745
56	223	3699
57	225	3656
58	227	3621
59	228	3583
60	230	3551
61	232	3515
62	233	3478
63	235	3439
64	236	3401
65	237	3364
66	239	3329
67	240	3295
68	241	3261
69	242	3227
70	244	3194
71	245	3165
72	247	3136
73	248	3106
74	249	3083
75	251	3056
76	252	3027
77	253	2999
78	254	2972
79	256	2946
80	257	2921
81	258	2897
82	259	2865
83	260	2844
84	262	2824
85	264	2806
86	265	2790
87	267	2771
88	269	2754
89	270	2738
90	272	2721
91	273	2703
92	275	2689
93	277	2675
94	279	2660
95	280	2643
96	281	2624
97	283	2609
98	284	2590
99	286	2574
100	287	2563
101	289	2552
102	291	2538
103	293	2525
104	294	2511
105	296	2498
106	297	2484
107	299	2472
108	301	2460
109	302	2448
110	304	2438
111	306	2428
112	307	2416
113	309	2403
114	310	2389
115	311	2375
116	312	2358
117	313	2344
118	315	2332
119	316	2319
120	317	2308
121	319	2295
122	320	2285
123	322	2276
124	323	2264
125	324	2252
126	325	2238
127	326	2226
128	328	2214
129	330	2208
130	331	2200
131	332	2189
132	334	2182
133	337	2178
134	338	2170
135	339	2159
136	341	2149
137	342	2140
138	343	2129
139	345	2120
140	346	2111
141	347	2100
142	348	2091
143	350	2082
144	352	2078
145	353	2069
146	355	2060
147	356	2052
148	358	2046
149	359	2039
150	361	2030
151	362	2022
152	363	2014
153	365	2006
154	366	1998
155	368	1992
156	369	1984
157	371	1977
158	373	1975
159	375	1969
160	376	1959
161	377	1953
162	378	1945
163	380	1940
164	382	1934
165	383	1928
166	385	1921
167	386	1913
168	387	1906
169	388	1899
170	390	1892
171	391	1884
172	392	1877
173	393	1869
174	395	1862
175	396	1855
176	397	1848
177	398	1841
178	400	1835
179	401	1830
180	403	1824
181	404	1818
182	405	1812
183	407	1806
184	408	1800
185	410	1795
186	411	1789
187	412	1783
188	414	1776
189	415	1770
190	416	1764
191	417	1757
192	418	1751
193	419	1744
194	421	1738
195	422	1732
196	423	1725
197	424	1720
198	426	1714
199	427	1709
200	428	1703
201	429	1698
202	431	1692
203	432	1687
204	433	1681
205	434	1675
206	435	1670
207	437	1665
208	438	1659
209	439	1654
210	441	1649
211	442	1643
212	443	1637
213	444	1632
214	445	1627
215	447	1622
216	448	1617
217	449	1613
218	450	1607
219	452	1603
220	453	1599
221	455	1594
222	456	1589
223	457	1585
224	459	1581
225	460	1576
226	461	1571
227	462	1567
228	464	1562
229	465	1558
230	466	1553
231	468	1549
232	469	1546
233	471	1542
234	472	1537
235	473	1532
236	474	1527
237	475	1523
238	476	1517
239	477	1513
240	479	1508
241	480	1504
242	481	1500
243	482	1496
244	484	1492
245	486	1489
246	487	1487
247	489	1483
248	490	1479
249	492	1476
250	493	1472
251	494	1468
252	495	1464
253	497	1460
254	498	1457
255	500	1453
256	501	1449
257	502	1445
258	503	1441
259	504	1437
260	506	1432
261	507	1428
262	508	1424
263	509	1420
264	510	1417
265	512	1413
266	513	1409
267	514	1405
268	515	1401
269	517	1397
270	518	1394
271	519	1390
272	520	1386
273	521	1382
274	523	1379
275	524	1375
276	525	1371
277	526	1368
278	528	1364
279	529	1361
280	530	1357
281	531	1354
282	532	1350
283	534	1346
284	535	1342
285	536	1338
286	537	1335
287	538	1331
288	539	1327
289	541	1324
290	542	1321
291	543	1317
292	545	1316
293	546	1313
294	548	1309
295	549	1307
296	551	1304
297	552	1300
298	553	1297
299	554	1293
300	555	1290
301	556	1287
302	557	1283
303	559	1280
304	560	1276
305	561	1273
306	562	1270
307	564	1267
308	565	1264
309	566	1261
310	568	1258
311	569	1255
312	570	1252
313	571	1249
314	573	1246
315	574	1243
316	576	1241
317	577	1238
318	578	1235
319	580	1232
320	581	1229
321	582	1225
322	583	1222
323	584	1219
324	585	1216
325	586	1212
326	587	1210
327	589	1207
328	590	1203
329	591	1200
330	592	1197
331	593	1194
332	594	1191
333	596	1188
334	597	1185
335	598	1182
336	599	1179
337	600	1176
338	602	1173
339	603	1170
340	604	1167
341	606	1165
342	607	1163
343	608	1160
344	609	1157
345	611	1155
346	612	1152
347	613	1150
348	615	1147
349	616	1144
350	617	1142
351	619	1139
352	620	1136
353	621	1133
354	622	1130
355	623	1128
356	624	1125
357	626	1122
358	627	1120
359	628	1117
360	629	1114
361	630	1111
362	631	1108
363	632	1105
364	634	1103
365	635	1101
366	636	1098
367	638	1096
368	639	1093
369	640	1090
370	641	1087
371	642	1084
372	643	1082
373	645	1080
374	647	1078
375	648	1076
376	650	1074
377	651	1072
378	653	1069
379	654	1067
380	655	1064
381	656	1062
382	657	1059
383	658	1057
384	660	1054
385	661	1051
386	662	1049
387	663	1046
388	664	1044
389	666	1041
390	667	1039
391	668	1036
392	669	1034
393	670	1031
394	671	1028
395	672	1025
396	673	1023
397	674	1020
398	675	1018
399	677	1015
400	678	1013
401	679	1010
402	680	1008
403	682	1006
404	682	1003
405	684	1000
406	685	998
407	686	995
408	687	993
409	688	991
410	690	988
411	691	986
412	692	984
413	693	982
414	694	979
415	696	977
416	697	974
417	698	972
418	699	969
419	700	967
420	701	965
421	703	963
422	704	961
423	706	959
424	707	957
425	709	955
426	710	953
427	711	950
428	712	948
429	713	946
430	715	944
431	716	941
432	717	939
433	718	936
434	719	934
435	720	932
436	721	930
437	723	927
438	724	925
439	725	923
440	726	921
441	727	919
442	729	916
443	730	914
444	731	912
445	732	909
446	733	907
447	734	905
448	735	902
449	736	900
450	738	899
451	740	897
452	741	895
453	742	893
454	743	891
455	745	888
456	746	886
457	747	884
458	748	882
459	749	879
460	750	877
461	751	875
462	752	873
463	753	870
464	754	868
465	756	866
466	757	864
467	758	861
468	759	859
469	760	857
470	761	855
471	762	852
472	763	850
473	764	848
474	765	845
475	766	843
476	767	841
477	768	838
478	769	836
479	770	834
480	771	832
481	772	830
482	774	828
483	775	826
484	776	824
485	777	822
486	778	820
487	779	817
488	780	815
489	781	813
490	783	811
491	784	809
492	785	807
493	786	805
494	788	804
495	789	802
496	790	800
497	791	798
498	792	796
499	793	793
500	794	791
501	795	789
502	796	787
503	797	785
504	799	783
505	800	781
506	801	779
507	802	777
508	803	775
509	804	772
510	805	770
511	806	768
512	807	766
513	808	764
514	809	762
515	810	760
516	811	757
517	812	755
518	813	754
519	814	752
520	815	749
521	816	747
522	817	745
523	818	743
524	819	741
525	820	739
526	821	737
527	822	735
528	823	733
529	824	731
530	825	729
531	826	727
532	827	725
533	828	723
534	829	721
535	831	719
536	832	717
537	833	715
538	834	713
539	835	711
540	836	709
541	837	707
542	838	705
543	839	703
544	840	701
545	841	699
546	842	697
547	843	695
548	845	694
549	846	692
550	847	690
551	848	688
552	849	686
553	850	684
554	851	682
555	852	680
556	853	678
557	854	676
558	855	674
559	856	673
560	857	671
561	858	669
562	859	667
563	861	665
564	862	663
565	863	661
566	864	660
567	865	658
568	866	656
569	867	654
570	868	652
571	870	651
572	871	649
573	872	647
574	873	645
575	874	643
576	875	642
577	876	640
578	877	638
579	879	636
580	880	634
581	881	632
582	882	631
583	883	629
584	884	627
585	885	625
586	886	624
587	887	622
588	889	620
589	890	618
590	891	616
591	892	615
592	893	613
593	894	611
594	895	609
595	897	608
596	898	606
597	899	604
598	900	602
599	901	600
600	902	599
601	903	597
602	904	595
603	905	593
604	907	592
605	908	590
606	909	589
607	911	587
608	912	585
609	913	583
610	914	582
611	915	580
612	916	578
613	917	577
614	932	583
615	933	581
616	934	580
617	935	578
618	937	576
619	938	575
620	939	573
621	940	571
622	942	570
623	943	568
624	944	566
625	945	564
626	946	563
627	947	561
